Date,Open,High,Low,Close,Volume,Adj Close
2015-05-19,11.03,11.42,11.02,11.34,7677800,11.34
2015-05-18,10.98,11.17,10.81,11.02,7877800,11.02
2015-05-15,11.51,11.66,11.12,11.20,9023200,11.20
2015-05-14,11.66,11.87,11.41,11.52,9165300,11.52
2015-05-13,11.30,11.68,11.03,11.66,13811300,11.66
2015-05-12,10.96,11.36,10.60,11.30,11478900,11.30
2015-05-11,10.99,10.99,10.80,10.95,11797200,10.95
2015-05-08,10.75,10.98,10.50,10.80,8175000,10.80
2015-05-07,11.10,11.14,10.60,10.64,9904300,10.64
2015-05-06,11.74,12.00,11.14,11.16,10590800,11.16
2015-05-05,12.34,12.34,11.73,11.73,15233400,11.73
2015-05-04,12.75,12.78,11.93,12.35,14538800,12.35
2015-05-01,12.56,12.56,12.56,12.56,000,12.56
2015-04-30,12.56,12.56,12.56,12.56,000,12.56
2015-04-29,11.82,12.58,11.70,12.56,20309700,12.56
2015-04-28,12.20,12.20,11.51,11.98,26584700,11.98
2015-04-27,11.77,12.13,11.77,12.12,30317700,12.12
2015-04-24,10.84,11.55,10.80,11.55,25966800,11.55
2015-04-23,10.81,11.23,10.81,11.00,18461300,11.00
2015-04-22,11.00,11.00,10.71,10.81,11769800,10.81
2015-04-21,10.35,10.68,10.35,10.62,9666300,10.62
2015-04-20,10.42,10.67,10.29,10.31,13402700,10.31
2015-04-17,10.69,10.98,10.42,10.57,10694300,10.57
2015-04-16,10.32,11.00,10.21,10.66,15759900,10.66
2015-04-15,10.30,10.82,10.20,10.58,19617900,10.58
2015-04-14,11.00,11.17,10.68,10.74,13616100,10.74
2015-04-13,11.00,11.30,10.80,11.00,17304400,11.00
2015-04-10,10.42,10.94,10.39,10.81,16523400,10.81
2015-04-09,10.13,10.59,9.91,10.59,25166900,10.59
2015-04-08,10.40,10.48,9.94,10.09,27322500,10.09
2015-04-07,9.66,10.46,9.66,10.46,37069700,10.46
2015-04-06,9.96,9.96,9.96,9.96,000,9.96
2015-04-03,9.96,9.96,9.96,9.96,4966500,9.96
2015-04-02,10.48,10.48,10.48,10.48,4050700,10.48
2015-04-01,11.03,11.03,11.03,11.03,000,11.03
2015-03-31,11.09,11.10,10.75,11.03,12209700,11.03
2015-03-30,11.27,11.51,10.77,11.10,33798300,11.10
2015-03-27,10.24,11.25,10.22,11.25,48665800,11.25
2015-03-26,10.40,10.44,10.05,10.23,17192800,10.23
2015-03-25,10.61,10.65,10.14,10.37,25826500,10.37
2015-03-24,10.84,10.87,10.47,10.70,15471300,10.70
2015-03-23,11.00,11.30,10.88,10.95,19646800,10.95
2015-03-20,10.60,11.20,10.51,10.97,21805200,10.97
2015-03-19,10.73,10.85,10.40,10.64,20699800,10.64
2015-03-18,11.03,11.55,10.60,10.79,32836100,10.79
2015-03-17,11.20,11.30,10.94,11.06,14258700,11.06
2015-03-16,10.94,11.25,10.82,11.19,14709600,11.19
2015-03-13,10.95,11.20,10.53,11.00,16477100,11.00
2015-03-12,11.02,11.49,10.70,10.94,23042100,10.94
2015-03-11,10.30,11.22,9.88,11.02,31923500,11.02
2015-03-10,9.28,10.23,9.28,10.23,23193500,10.23
2015-03-09,9.12,9.48,8.82,9.30,16862900,9.30
2015-03-06,9.20,9.28,8.74,9.04,17981600,9.04
2015-03-05,8.98,9.62,8.83,9.30,26325700,9.30
2015-03-04,8.12,8.88,8.09,8.88,35303200,8.88
2015-03-03,8.00,8.15,7.97,8.07,9761400,8.07
2015-03-02,8.24,8.24,7.96,8.07,12273400,8.07
2015-02-27,8.39,8.39,8.09,8.15,8913700,8.15
2015-02-26,8.10,8.39,8.07,8.28,6364900,8.28
2015-02-25,8.12,8.20,8.05,8.10,4726900,8.10
2015-02-24,8.10,8.10,8.10,8.10,000,8.10
2015-02-23,8.10,8.10,8.10,8.10,000,8.10
2015-02-20,8.10,8.10,8.10,8.10,000,8.10
2015-02-19,8.10,8.10,8.10,8.10,000,8.10
2015-02-18,8.10,8.10,8.10,8.10,000,8.10
2015-02-17,8.11,8.15,7.91,8.10,8389800,8.10
2015-02-16,8.03,8.42,8.03,8.10,14354100,8.10
2015-02-13,7.61,8.10,7.54,8.03,13096600,8.03
2015-02-12,7.79,7.79,7.51,7.55,6336300,7.55
2015-02-11,7.36,7.75,7.34,7.65,5981100,7.65
2015-02-10,7.18,7.33,7.18,7.28,3975800,7.28
2015-02-09,7.02,7.44,7.02,7.27,3271700,7.27
2015-02-06,7.60,7.60,7.28,7.34,5899400,7.34
2015-02-05,7.96,7.96,7.52,7.55,7306700,7.55
2015-02-04,7.69,7.88,7.69,7.78,4501900,7.78
2015-02-03,7.91,8.03,7.64,7.72,6968800,7.72
2015-02-02,7.61,8.05,7.61,7.90,3879900,7.90
2015-01-30,8.04,8.20,7.69,7.83,5314800,7.83
2015-01-29,8.16,8.32,8.01,8.07,5354800,8.07
2015-01-28,8.19,8.73,8.16,8.24,9694300,8.24
2015-01-27,7.99,8.31,7.82,8.19,13169800,8.19
2015-01-26,7.60,8.07,7.54,8.00,11244600,8.00
2015-01-23,7.78,8.09,7.58,7.73,11853400,7.73
2015-01-22,7.30,7.48,7.25,7.40,5887700,7.40
