Date,Open,High,Low,Close,Volume,Adj Close
2015-05-19,52.70,52.70,52.70,52.70,000,52.70
2015-05-18,52.70,52.70,52.70,52.70,000,52.70
2015-05-15,52.70,52.70,52.70,52.70,000,52.70
2015-05-14,52.70,52.70,52.70,52.70,000,52.70
2015-05-13,52.70,52.70,52.70,52.70,000,52.70
2015-05-12,52.70,52.70,52.70,52.70,000,52.70
2015-05-11,52.70,52.70,52.70,52.70,000,52.70
2015-05-08,52.70,52.70,52.70,52.70,000,52.70
2015-05-07,52.70,52.70,52.70,52.70,000,52.70
2015-05-06,52.70,52.70,52.70,52.70,000,52.70
2015-05-05,52.70,52.70,52.70,52.70,000,52.70
2015-05-04,52.70,52.70,52.70,52.70,000,52.70
2015-05-01,52.70,52.70,52.70,52.70,000,52.70
2015-04-30,52.70,52.70,52.70,52.70,000,52.70
2015-04-29,52.70,52.70,52.70,52.70,000,52.70
2015-04-28,52.70,52.70,52.70,52.70,000,52.70
2015-04-27,52.70,52.70,52.70,52.70,000,52.70
2015-04-24,52.70,52.70,52.70,52.70,000,52.70
2015-04-23,52.70,52.70,52.70,52.70,000,52.70
2015-04-22,52.70,52.70,52.70,52.70,000,52.70
2015-04-21,52.70,52.70,52.70,52.70,000,52.70
2015-04-20,52.70,52.70,52.70,52.70,000,52.70
2015-04-17,52.70,52.70,52.70,52.70,000,52.70
2015-04-16,52.70,52.70,52.70,52.70,000,52.70
2015-04-15,52.70,52.70,52.70,52.70,000,52.70
2015-04-14,49.36,54.34,49.00,52.70,9485600,52.70
2015-04-13,48.98,50.48,48.00,49.40,5095200,49.40
2015-04-10,47.33,50.00,46.18,49.40,6825800,49.40
2015-04-09,44.56,47.93,41.93,47.61,8030700,47.61
2015-04-08,46.10,47.00,43.75,45.35,8441000,45.35
2015-04-07,45.68,48.88,45.10,46.40,5535300,46.40
2015-04-06,45.95,45.95,45.95,45.95,000,45.95
2015-04-03,44.55,46.00,44.20,45.95,6691800,45.95
2015-04-02,42.30,46.20,42.25,45.35,7036800,45.35
2015-04-01,41.48,42.30,41.01,42.30,6019200,42.30
2015-03-31,41.60,42.46,41.01,41.84,5073700,41.84
2015-03-30,40.48,42.98,40.48,41.68,5953300,41.68
2015-03-27,40.10,41.57,40.08,40.45,4524400,40.45
2015-03-26,41.61,42.69,40.00,41.00,8688900,41.00
2015-03-25,40.78,43.78,40.70,42.70,11775200,42.70
2015-03-24,36.35,39.99,35.40,39.99,10856000,39.99
2015-03-23,35.70,36.90,34.66,36.35,10699200,36.35
2015-03-20,35.12,36.69,34.88,35.65,9070200,35.65
2015-03-19,36.07,36.07,34.95,35.50,6811600,35.50
2015-03-18,36.11,36.21,35.00,36.13,7135600,36.13
2015-03-17,36.22,37.28,35.60,36.10,7519900,36.10
2015-03-16,35.98,37.05,34.55,36.46,10121600,36.46
2015-03-13,34.80,35.80,34.30,35.63,5732100,35.63
2015-03-12,36.49,36.49,32.26,35.30,13972100,35.30
2015-03-11,34.98,37.28,34.58,35.84,6600200,35.84
2015-03-10,35.40,35.50,34.51,35.18,5744700,35.18
2015-03-09,34.50,36.62,34.00,35.75,6859700,35.75
2015-03-06,37.18,37.18,33.90,34.50,8083100,34.50
2015-03-05,37.91,38.85,36.09,37.32,8076100,37.32
2015-03-04,33.42,36.30,33.42,36.30,5700900,36.30
2015-03-03,31.35,33.71,30.80,33.00,8487600,33.00
2015-03-02,30.99,31.33,30.30,31.33,8371500,31.33
2015-02-27,30.26,30.67,29.60,30.49,4666100,30.49
2015-02-26,30.02,30.60,29.19,30.18,3761700,30.18
2015-02-25,30.06,32.49,29.48,30.00,7697000,30.00
2015-02-24,30.47,30.47,30.47,30.47,000,30.47
2015-02-23,30.47,30.47,30.47,30.47,000,30.47
2015-02-20,30.47,30.47,30.47,30.47,000,30.47
2015-02-19,30.47,30.47,30.47,30.47,000,30.47
2015-02-18,30.47,30.47,30.47,30.47,000,30.47
2015-02-17,30.54,31.30,29.50,30.47,7077500,30.47
2015-02-16,31.16,31.49,30.20,30.89,7531100,30.89
2015-02-13,31.11,32.50,30.00,31.30,11138300,31.30
2015-02-12,29.40,32.40,28.61,31.00,12863700,31.00
2015-02-11,28.20,29.98,27.35,29.45,12381300,29.45
2015-02-10,24.11,27.26,24.11,27.26,6058800,27.26
2015-02-09,26.50,28.26,24.60,24.78,10156200,24.78
2015-02-06,27.00,27.50,25.70,26.08,6614500,26.08
2015-02-05,26.97,28.95,26.92,27.49,10072600,27.49
2015-02-04,25.55,27.76,25.30,26.58,8110600,26.58
2015-02-03,23.00,25.30,22.81,25.30,7980700,25.30
2015-02-02,21.81,23.20,21.54,23.00,5494500,23.00
2015-01-30,21.62,23.20,21.62,22.08,7979600,22.08
2015-01-29,22.01,22.28,21.33,21.52,7446900,21.52
2015-01-28,23.04,23.49,22.54,22.67,7598900,22.67
2015-01-27,22.98,23.69,21.60,23.51,12253700,23.51
2015-01-26,20.52,22.55,20.52,22.55,13962000,22.55
2015-01-23,20.36,20.80,20.05,20.50,11580200,20.50
2015-01-22,18.18,20.35,18.13,20.35,18752900,20.35
2015-01-21,18.12,19.32,18.01,18.50,14875000,18.50
2015-01-20,16.01,17.56,16.01,17.56,8377100,17.56
2015-01-19,15.10,16.38,14.81,15.96,6723600,15.96
2015-01-16,15.68,15.77,15.11,15.51,4392600,15.51
2015-01-15,15.90,16.05,15.47,15.71,2722900,15.71
2015-01-14,16.10,16.11,15.76,15.90,1267500,15.90
2015-01-13,16.13,16.34,15.81,16.09,2659000,16.09
2015-01-12,16.01,16.45,15.88,16.07,1504600,16.07
2015-01-09,16.29,16.95,16.00,16.28,5969400,16.28
2015-01-08,16.07,16.36,16.07,16.28,3702300,16.28
2015-01-07,16.06,16.57,15.87,16.07,4255100,16.07
2015-01-06,15.90,16.57,14.92,16.44,8335100,16.44
2015-01-05,17.56,17.56,15.95,16.25,9443400,16.25
2015-01-02,17.42,17.42,17.42,17.42,000,17.42
2015-01-01,17.42,17.42,17.42,17.42,000,17.42
2014-12-31,17.17,17.71,16.70,17.42,5577500,17.42
2014-12-30,16.50,17.71,16.02,17.15,5726000,17.15
2014-12-29,16.19,17.16,15.58,16.73,5325500,16.73
2014-12-26,16.10,16.26,15.65,16.15,4737200,16.15
2014-12-25,15.69,16.35,15.39,16.10,4565400,16.10
2014-12-24,17.10,17.18,15.37,15.82,14579100,15.82
2014-12-23,16.90,17.27,16.44,17.08,4933800,17.08
