Date,Open,High,Low,Close,Volume,Adj Close
2015-05-19,14.70,16.12,14.70,16.02,23876800,16.02
2015-05-18,15.20,15.68,14.51,14.68,21071000,14.68
2015-05-15,15.01,15.32,14.75,15.09,13132600,15.09
2015-05-14,14.88,15.15,14.70,15.01,15621200,15.01
2015-05-13,14.66,15.35,14.30,14.98,24304300,14.98
2015-05-12,14.00,15.36,13.66,14.73,25260700,14.73
2015-05-11,13.62,14.07,13.61,14.00,16561300,14.00
2015-05-08,12.50,13.41,12.50,13.40,12782000,13.40
2015-05-07,13.32,13.50,12.38,12.44,9281200,12.44
2015-05-06,13.24,13.75,12.99,13.39,14475900,13.39
2015-05-05,13.80,14.20,13.14,13.22,19463400,13.22
2015-05-04,13.02,13.78,13.02,13.70,17169100,13.70
2015-05-01,13.02,13.02,13.02,13.02,000,13.02
2015-04-30,13.23,13.45,12.98,13.02,12626500,13.02
2015-04-29,13.05,13.58,12.98,13.14,14540700,13.14
2015-04-28,13.90,13.90,13.16,13.29,13105100,13.29
2015-04-27,13.91,14.36,13.52,13.95,17225700,13.95
2015-04-24,13.50,14.42,13.23,13.91,25353800,13.91
2015-04-23,12.62,13.83,12.62,13.81,33371800,13.81
2015-04-22,12.44,12.75,12.43,12.62,13509200,12.62
2015-04-21,12.14,12.48,12.14,12.43,13061200,12.43
2015-04-20,12.85,12.99,12.01,12.14,27325100,12.14
2015-04-17,12.92,13.20,12.65,13.05,24052700,13.05
2015-04-16,12.40,13.13,12.20,12.89,20761700,12.89
2015-04-15,13.30,13.58,12.65,12.65,27490700,12.65
2015-04-14,12.26,13.43,12.10,13.32,32213000,13.32
2015-04-13,11.80,12.33,11.73,12.25,31261100,12.25
2015-04-10,10.92,11.86,10.90,11.73,24650000,11.73
2015-04-09,11.35,11.55,10.73,11.05,22393300,11.05
2015-04-08,11.83,11.83,11.28,11.45,23407200,11.45
2015-04-07,11.32,11.99,11.18,11.84,25394900,11.84
2015-04-06,11.24,11.24,11.24,11.24,000,11.24
2015-04-03,11.20,11.48,11.10,11.24,18078700,11.24
2015-04-02,11.26,11.30,11.03,11.25,19999000,11.25
2015-04-01,10.95,11.29,10.82,11.24,21241900,11.24
2015-03-31,10.69,11.19,10.63,10.99,33617400,10.99
2015-03-30,10.57,10.80,10.57,10.69,24845200,10.69
2015-03-27,10.66,10.70,10.52,10.57,20221600,10.57
2015-03-26,10.47,10.71,10.35,10.57,15253900,10.57
2015-03-25,10.51,10.67,10.42,10.55,12915500,10.55
2015-03-24,10.80,10.81,10.35,10.57,16925800,10.57
2015-03-23,10.69,10.84,10.50,10.80,22120800,10.80
2015-03-20,10.63,10.87,10.48,10.67,17488300,10.67
2015-03-19,10.18,10.80,10.11,10.61,23092600,10.61
2015-03-18,10.03,10.19,10.01,10.15,17377800,10.15
2015-03-17,9.88,10.16,9.88,10.08,17590000,10.08
2015-03-16,9.59,9.90,9.59,9.90,14837800,9.90
2015-03-13,9.51,9.59,9.44,9.57,6420600,9.57
2015-03-12,9.65,9.83,9.40,9.49,11465800,9.49
2015-03-11,9.74,9.86,9.64,9.66,12290600,9.66
2015-03-10,9.40,9.70,9.36,9.70,14741800,9.70
2015-03-09,9.39,9.43,9.23,9.40,8274000,9.40
2015-03-06,9.56,9.65,9.39,9.43,6738700,9.43
2015-03-05,9.61,9.72,9.50,9.55,8133300,9.55
2015-03-04,9.37,9.68,9.35,9.64,10075400,9.64
2015-03-03,9.46,9.56,9.31,9.41,10128100,9.41
2015-03-02,9.38,9.57,9.38,9.45,9313500,9.45
2015-02-27,9.23,9.42,9.23,9.35,8190800,9.35
2015-02-26,9.17,9.24,9.15,9.22,4347700,9.22
2015-02-25,9.25,9.28,9.08,9.15,4095500,9.15
2015-02-24,9.26,9.26,9.26,9.26,000,9.26
2015-02-23,9.26,9.26,9.26,9.26,000,9.26
2015-02-20,9.26,9.26,9.26,9.26,000,9.26
